china_gdp_yoy_forecast,coffee_inventory,coffee_nearby,coffee_total_consumption_usda,colombia_coffee_exports,crude_nearby,non_commercial_net_position,sugar_nearby,vix_index, value,CHN_NGDP_RPCH,CHN_PCPI,CHN_PPPEX,COL_NGDP_RPCH,COL_PCPI,COL_PPPEX,COL_TMG_RPCH,COL_TXG_RPCH,USA_NGDP_RPCH,USA_PCPI,USA_PPPEX,USA_TMG_RPCH,USA_TXG_RPCH
,3361204.0,107.1,116535.0,623030.0,73.7,11249.0,17.73,12.54,85.97,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3361775.0,110.35,116535.0,623030.0,74.61,12659.0,17.91,11.99,85.79,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3364054.0,108.85,116535.0,623030.0,72.28,12659.0,17.69,11.99,85.84,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3350272.0,107.15,116535.0,623030.0,69.94,12659.0,17.05,11.86,85.36,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3354083.0,106.5,116535.0,623030.0,70.19,12659.0,17.48,11.62,85.14,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3342380.0,105.75,116535.0,623030.0,69.77,12659.0,17.25,12.0,85.23,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3342596.0,107.05,116535.0,623030.0,70.69,9362.0,17.47,11.99,84.83,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3342163.0,107.2,116535.0,623030.0,72.13,9362.0,17.38,11.78,84.5,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3341715.0,102.7,116535.0,623030.0,73.32,9362.0,17.65,12.49,84.27,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3332260.0,101.8,116535.0,623030.0,72.04,9362.0,17.6,14.19,83.91,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3333713.0,99.6,116535.0,623030.0,69.41,9362.0,17.17,13.57,84.54,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
,3332713.0,100.85,116535.0,623030.0,69.53,-606.0,17.03,13.35,84.17,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
