date,BRA_NGDP_RPCH,BRA_PCPI,BRA_PPPEX,BRA_TMG_RPCH,BRA_TXG_RPCH,CHN_NGDP_RPCH,CHN_PCPI,CHN_PPPEX,COL_NGDP_RPCH,COL_PCPI,COL_PPPEX,COL_TMG_RPCH,COL_TXG_RPCH,DEU_NGDP_RPCH,DEU_PCPI,DEU_PPPEX,DEU_TMG_RPCH,DEU_TXG_RPCH,FRA_NGDP_RPCH,FRA_PCPI,FRA_PPPEX,FRA_TMG_RPCH,FRA_TXG_RPCH,ITA_NGDP_RPCH,ITA_PCPI,ITA_PPPEX,ITA_TMG_RPCH,ITA_TXG_RPCH,JPN_NGDP_RPCH,JPN_PCPI,JPN_PPPEX,JPN_TMG_RPCH,JPN_TXG_RPCH,NLD_NGDP_RPCH,NLD_PCPI,NLD_PPPEX,NLD_TMG_RPCH,NLD_TXG_RPCH,USA_NGDP_RPCH,USA_PCPI,USA_TMG_RPCH,USA_TXG_RPCH,VNM_NGDP_RPCH,VNM_PCPI,VNM_PPPEX,VNM_TMG_RPCH,VNM_TXG_RPCH
1990-12-31,-4.168,183210172.177,,8.155,-7.689,3.888,35.144,1.712,4.282,6.844,169.869,10.617,18.623,5.723,63.017,0.815,11.349,7.523,2.901,65.502,0.946,4.955,5.125,1.982,51.492,0.623,6.254,3.509,4.893,89.62,184.682,5.282,5.021,4.178,60.788,0.843,5.014,6.081,1.886,130.658,2.915,8.567,5.047,19.081,685.407,172.249,32.598
1991-12-31,1.031,976093360.45,,9.505,3.459,8.996,36.339,1.762,2.372,8.919,207.15,-5.006,10.657,5.011,65.206,0.903,14.0,16.364,1.088,67.733,0.938,3.305,5.892,1.439,54.692,0.648,4.804,0.394,3.417,92.553,183.871,2.303,2.07,2.451,62.717,0.841,5.407,5.521,-0.108,136.167,0.454,6.717,5.809,34.693,1145.597,50.0,32.633
1992-12-31,-0.467,10268073824.271,0.001,-2.209,14.251,14.277,38.664,1.859,4.353,11.329,249.162,24.65,7.981,1.92,68.496,0.93,1.133,-1.07,1.49,69.395,0.936,0.951,4.847,0.723,57.417,0.662,3.766,4.844,0.848,94.151,182.77,16.747,12.744,1.589,64.498,0.843,2.017,2.403,3.522,140.308,9.426,7.524,8.7,47.773,1484.806,5.0,51.364
1993-12-31,4.665,208172960975.024,0.012,29.571,12.525,13.879,44.372,2.091,5.71,13.873,301.577,44.905,11.825,-0.977,71.562,0.944,-9.172,-6.578,-0.677,70.945,0.93,-4.55,0.137,-0.835,60.0,0.672,-10.65,8.517,-0.518,95.332,179.553,2.85,-2.306,1.264,65.559,0.836,0.683,4.307,2.752,144.475,10.005,3.251,8.078,51.776,1702.939,64.618,22.835
1994-12-31,5.334,4529483298244.9,0.284,29.07,7.67,13.029,55.139,2.465,5.147,17.043,370.911,21.316,15.551,2.399,73.507,0.943,8.631,9.492,2.363,72.127,0.919,10.948,9.942,2.074,62.5,0.682,12.156,12.336,0.876,95.99,176.186,12.961,1.568,3.009,66.947,0.836,10.602,9.692,4.029,148.225,13.353,9.571,8.834,56.687,1950.07,36.357,26.915
1995-12-31,4.417,7519306426937.42,0.539,38.812,10.425,10.969,64.379,2.743,5.202,20.602,431.78,7.877,-5.448,1.541,74.78,0.942,7.276,6.982,2.26,73.403,0.909,8.479,9.906,2.683,65.867,0.715,11.581,13.777,2.631,95.905,171.664,14.18,3.311,2.773,67.85,0.833,11.787,10.993,2.684,152.383,9.007,11.65,9.54,66.281,2235.493,31.643,13.473
1996-12-31,2.209,8704156332079.0,0.627,6.111,2.738,9.921,69.722,2.872,2.056,24.888,495.539,1.389,-1.091,0.816,75.733,0.93,4.187,6.027,1.359,74.93,0.905,0.575,3.012,1.267,68.492,0.734,-1.246,2.492,3.134,96.038,167.826,12.513,2.886,3.494,68.831,0.826,5.124,3.285,3.772,156.858,9.376,8.887,9.34,69.988,2386.214,19.541,36.174
1997-12-31,3.395,9306985212080.17,0.664,16.88,11.297,9.247,71.666,2.869,3.43,29.486,569.176,18.612,5.596,1.785,76.875,0.917,9.584,11.776,2.335,75.879,0.898,7.791,13.174,1.83,69.758,0.74,11.013,3.772,0.981,97.67,165.813,0.914,11.605,4.328,70.109,0.834,9.912,8.849,4.447,160.525,14.409,14.485,8.152,72.154,2500.536,-3.345,24.432
1998-12-31,0.338,9604457667224.75,0.689,2.558,3.705,7.856,71.111,2.808,0.57,34.985,645.992,1.123,6.698,2.02,77.333,0.913,10.441,7.1,3.598,76.392,0.896,11.939,8.663,1.811,71.175,0.749,8.689,2.541,-1.27,98.307,163.924,-7.563,-2.028,4.668,71.36,0.841,8.001,7.061,4.481,163.008,11.849,2.176,5.765,78.006,2691.221,0.862,-4.046
1999-12-31,0.468,10071090512712.1,0.734,-14.193,8.255,7.68,70.116,2.733,-4.204,38.79,717.422,-23.694,1.172,1.887,77.833,0.904,8.468,5.492,3.292,76.832,0.886,7.094,4.596,1.626,72.35,0.75,5.777,0.01,-0.334,97.966,159.64,5.658,3.517,5.032,72.813,0.84,8.979,8.642,4.795,166.583,12.874,4.177,4.774,81.211,2806.024,-5.478,14.787
