date,coffee,china_gdp_yoy_forecast,coffee_inventory,coffee_nearby,coffee_total_consumption_usda,colombia_coffee_exports,crude_nearby,non_commercial_net_position,sugar_nearby,vix_index
1990-01-02,94.25,,,80.56,,,22.89,,13.02,17.24
1990-01-03,94.45,,,81.75,,,23.68,,14.22,18.19
1990-01-04,92.54,,,82.48,,,23.41,,14.17,19.22
1990-01-05,93.06,,,81.16,,,23.08,,14.16,20.11
1990-01-08,92.05,,,81.38,,,21.62,,14.06,20.26
1990-01-09,92.36,,,82.84,,,22.07,,14.33,22.2
1990-01-10,92.5,,,82.57,,,22.9,,14.54,22.44
1990-01-11,92.44,,,81.6,,,23.14,,14.52,20.05
1990-01-12,92.56,,,79.04,,,23.13,,14.56,24.64
1990-01-15,92.95,,,77.56,,,22.36,,14.65,26.34
1990-01-16,92.87,,,77.55,,,22.78,,14.48,24.18
1990-01-17,92.77,,,78.76,,,22.1,,14.3,24.16
1990-01-18,93.78,,,79.37,,,22.76,,14.41,24.34
1990-01-19,93.76,,,81.31,,,23.67,,14.26,22.5
1990-01-22,94.36,,,81.49,,,22.55,,14.6,26.7
1990-01-23,93.05,,,80.06,,,21.6,,14.71,24.72
1990-01-24,92.87,,,80.53,,,21.59,,14.85,25.39
1990-01-25,92.57,,,81.31,,,22.24,,15.16,25.63
1990-01-26,92.53,,,81.92,,,22.56,,14.86,26.28
1990-01-29,91.99,,,80.8,,,22.8,,14.87,26.44
1990-01-30,92.91,,,80.37,,,22.46,,14.44,27.25
1990-01-31,92.55,,,79.99,,,22.68,,14.73,25.36
1990-02-01,92.18,,,80.64,,,22.7,,14.8,24.87
1990-02-02,92.44,,,80.38,,,23.02,,14.81,24.32
1990-02-05,91.49,,,80.04,,,22.39,,14.86,24.54
1990-02-06,91.45,,,80.04,,,22.51,,14.6,24.69
1990-02-07,91.68,,,81.66,,,22.32,,14.97,24.29
1990-02-08,91.92,,,82.09,,,22.09,,14.86,23.77
1990-02-09,91.94,,,85.06,,,21.74,,15.12,23.69
1990-02-12,92.11,,,86.27,,,22.03,,14.94,24.38
1990-02-13,92.21,,,86.55,,,21.9,,14.56,23.76
1990-02-14,92.25,,,85.81,,,22.07,,14.7,22.05
1990-02-15,92.89,,,84.98,,,22.84,,14.74,19.71
1990-02-16,92.07,,,85.81,,,22.42,,14.78,20.78
1990-02-20,91.78,,,86.91,,,22.19,,14.49,22.78
1990-02-21,91.88,,,89.64,,,21.74,,14.57,23.89
1990-02-22,91.84,,,91.16,,,21.75,,14.73,22.54
1990-02-23,92.2,,,91.55,,,21.42,,14.46,23.69
1990-02-26,92.71,,,91.42,,,21.79,,14.42,23.56
1990-02-27,92.83,,,90.04,,,21.58,,14.36,22.69
1990-02-28,93.39,,,92.81,,,21.54,,14.31,21.99
1990-03-01,93.96,,,96.75,,,21.17,,14.23,21.9
