date, value
1990-01-02 00:00:00, 94.25
1990-01-03 00:00:00, 94.45
1990-01-04 00:00:00, 92.54
1990-01-05 00:00:00, 93.06
1990-01-08 00:00:00, 92.05
1990-01-09 00:00:00, 92.36
1990-01-10 00:00:00, 92.5
1990-01-11 00:00:00, 92.44
1990-01-12 00:00:00, 92.56
1990-01-15 00:00:00, 92.95
1990-01-16 00:00:00, 92.87
1990-01-17 00:00:00, 92.77
1990-01-18 00:00:00, 93.78
1990-01-19 00:00:00, 93.76
1990-01-22 00:00:00, 94.36
1990-01-23 00:00:00, 93.05
1990-01-24 00:00:00, 92.87
1990-01-25 00:00:00, 92.57
1990-01-26 00:00:00, 92.53
1990-01-29 00:00:00, 91.99
1990-01-30 00:00:00, 92.91
1990-01-31 00:00:00, 92.55
1990-02-01 00:00:00, 92.18
1990-02-02 00:00:00, 92.44
1990-02-05 00:00:00, 91.49
1990-02-06 00:00:00, 91.45
1990-02-07 00:00:00, 91.68
1990-02-08 00:00:00, 91.92
1990-02-09 00:00:00, 91.94
1990-02-12 00:00:00, 92.11
1990-02-13 00:00:00, 92.21
1990-02-14 00:00:00, 92.25
1990-02-15 00:00:00, 92.89
1990-02-16 00:00:00, 92.07
1990-02-20 00:00:00, 91.78
1990-02-21 00:00:00, 91.88
1990-02-22 00:00:00, 91.84
1990-02-23 00:00:00, 92.2
1990-02-26 00:00:00, 92.71
1990-02-27 00:00:00, 92.83
1990-02-28 00:00:00, 93.39
1990-03-01 00:00:00, 93.96
1990-03-02 00:00:00, 94.15
1990-03-05 00:00:00, 93.36
1990-03-06 00:00:00, 93.59
1990-03-07 00:00:00, 93.37
1990-03-08 00:00:00, 93.62
1990-03-09 00:00:00, 93.89
1990-03-12 00:00:00, 94.43
1990-03-13 00:00:00, 94.28
1990-03-14 00:00:00, 94.2
1990-03-15 00:00:00, 93.74
1990-03-16 00:00:00, 93.82
1990-03-19 00:00:00, 93.49
1990-03-20 00:00:00, 94.3
1990-03-21 00:00:00, 94.57
1990-03-22 00:00:00, 94.19
1990-03-23 00:00:00, 94.39
1990-03-26 00:00:00, 94.36
1990-03-27 00:00:00, 94.55
1990-03-28 00:00:00, 94.47
1990-03-29 00:00:00, 93.58
1990-03-30 00:00:00, 93.77
1990-04-02 00:00:00, 94.1
1990-04-03 00:00:00, 93.99
1990-04-04 00:00:00, 94.01
1990-04-05 00:00:00, 93.85
1990-04-06 00:00:00, 93.7
1990-04-09 00:00:00, 93.64
1990-04-10 00:00:00, 92.97
1990-04-11 00:00:00, 92.87
1990-04-12 00:00:00, 92.91
1990-04-16 00:00:00, 93.35
1990-04-17 00:00:00, 93.31
1990-04-18 00:00:00, 92.94
1990-04-19 00:00:00, 93.08
1990-04-20 00:00:00, 93.39
1990-04-23 00:00:00, 93.8
1990-04-24 00:00:00, 93.83
1990-04-25 00:00:00, 93.08
1990-04-26 00:00:00, 93.17
1990-04-27 00:00:00, 93.08
1990-04-30 00:00:00, 93.08
1990-05-01 00:00:00, 93.14
1990-05-02 00:00:00, 93.21
1990-05-03 00:00:00, 93.16
1990-05-04 00:00:00, 92.43
1990-05-07 00:00:00, 92.04
1990-05-08 00:00:00, 92.01
1990-05-09 00:00:00, 91.16
1990-05-10 00:00:00, 91.03
1990-05-11 00:00:00, 91.06
1990-05-14 00:00:00, 91.11
1990-05-15 00:00:00, 91.15
1990-05-16 00:00:00, 91.24
1990-05-17 00:00:00, 91.25
1990-05-18 00:00:00, 91.38
1990-05-21 00:00:00, 91.94
1990-05-22 00:00:00, 91.97
1990-05-23 00:00:00, 92.07
1990-05-24 00:00:00, 92.41
1990-05-25 00:00:00, 92.17
1990-05-29 00:00:00, 91.98
1990-05-30 00:00:00, 92.33
1990-05-31 00:00:00, 92.93
1990-06-01 00:00:00, 92.99
1990-06-04 00:00:00, 92.68
1990-06-05 00:00:00, 92.59
1990-06-06 00:00:00, 92.61
1990-06-07 00:00:00, 92.8
1990-06-08 00:00:00, 93.08
1990-06-11 00:00:00, 92.93
1990-06-12 00:00:00, 92.94
1990-06-13 00:00:00, 92.54
1990-06-14 00:00:00, 92.73
1990-06-15 00:00:00, 92.59
1990-06-18 00:00:00, 92.02
1990-06-19 00:00:00, 91.91
1990-06-20 00:00:00, 92.06
1990-06-21 00:00:00, 92.11
1990-06-22 00:00:00, 91.97
1990-06-25 00:00:00, 92.1
1990-06-26 00:00:00, 91.46
1990-06-27 00:00:00, 91.53
1990-06-28 00:00:00, 91.68
1990-06-29 00:00:00, 91.15
1990-07-02 00:00:00, 90.51
1990-07-03 00:00:00, 90.43
1990-07-05 00:00:00, 90.41
1990-07-06 00:00:00, 90.5
1990-07-09 00:00:00, 90.27
1990-07-10 00:00:00, 89.58
1990-07-11 00:00:00, 90.18
1990-07-12 00:00:00, 89.38
1990-07-13 00:00:00, 90.06
1990-07-16 00:00:00, 90.19
1990-07-17 00:00:00, 89.69
1990-07-18 00:00:00, 89.84
1990-07-19 00:00:00, 89.66
1990-07-20 00:00:00, 89.54
1990-07-23 00:00:00, 88.93
1990-07-24 00:00:00, 88.99
1990-07-25 00:00:00, 89.15
1990-07-26 00:00:00, 89.14
1990-07-27 00:00:00, 88.44
1990-07-30 00:00:00, 88.13
1990-07-31 00:00:00, 87.2
1990-08-01 00:00:00, 87.42
1990-08-02 00:00:00, 87.73
1990-08-03 00:00:00, 87.54
1990-08-06 00:00:00, 87.12
1990-08-07 00:00:00, 87.52
1990-08-08 00:00:00, 87.59
1990-08-09 00:00:00, 87.69
1990-08-10 00:00:00, 87.59
1990-08-13 00:00:00, 87.01
1990-08-14 00:00:00, 86.37
1990-08-15 00:00:00, 86.3
1990-08-16 00:00:00, 85.87
1990-08-17 00:00:00, 85.62
1990-08-20 00:00:00, 86.18
1990-08-21 00:00:00, 86.17
1990-08-22 00:00:00, 85.97
1990-08-23 00:00:00, 85.12
1990-08-24 00:00:00, 85.66
1990-08-27 00:00:00, 85.3
1990-08-28 00:00:00, 85.4
1990-08-29 00:00:00, 85.57
1990-08-30 00:00:00, 85.92
1990-08-31 00:00:00, 86.58
1990-09-04 00:00:00, 86.85
1990-09-05 00:00:00, 85.72
1990-09-06 00:00:00, 85.47
1990-09-07 00:00:00, 86.05
1990-09-10 00:00:00, 86.68
1990-09-11 00:00:00, 86.9
1990-09-12 00:00:00, 86.94
1990-09-13 00:00:00, 85.79
1990-09-14 00:00:00, 85.72
1990-09-17 00:00:00, 84.92
1990-09-18 00:00:00, 85.24
1990-09-19 00:00:00, 85.98
1990-09-20 00:00:00, 86.22
1990-09-21 00:00:00, 86.31
1990-09-24 00:00:00, 85.48
1990-09-25 00:00:00, 85.96
1990-09-26 00:00:00, 85.75
1990-09-27 00:00:00, 85.72
1990-09-28 00:00:00, 85.91
1990-10-01 00:00:00, 85.43
1990-10-02 00:00:00, 85.1
1990-10-03 00:00:00, 84.71
1990-10-04 00:00:00, 84.13
1990-10-05 00:00:00, 84.24
1990-10-08 00:00:00, 83.57
1990-10-09 00:00:00, 83.21
1990-10-10 00:00:00, 83.29
1990-10-11 00:00:00, 82.79
1990-10-12 00:00:00, 83.16
1990-10-15 00:00:00, 83.25
1990-10-16 00:00:00, 82.59
1990-10-17 00:00:00, 82.56
1990-10-18 00:00:00, 81.96
1990-10-19 00:00:00, 82.3
1990-10-22 00:00:00, 82.96
1990-10-23 00:00:00, 83.16
1990-10-24 00:00:00, 82.48
1990-10-25 00:00:00, 83.04
1990-10-26 00:00:00, 82.88
1990-10-29 00:00:00, 83.24
1990-10-30 00:00:00, 82.99
1990-10-31 00:00:00, 83.27
1990-11-01 00:00:00, 82.82
1990-11-02 00:00:00, 82.22
1990-11-05 00:00:00, 81.71
1990-11-06 00:00:00, 82.11
1990-11-07 00:00:00, 82.04
1990-11-08 00:00:00, 82.32
1990-11-09 00:00:00, 82.12
1990-11-12 00:00:00, 81.71
1990-11-13 00:00:00, 81.85
1990-11-14 00:00:00, 81.63
1990-11-15 00:00:00, 81.84
1990-11-16 00:00:00, 81.59
1990-11-19 00:00:00, 81.54
1990-11-20 00:00:00, 81.63
1990-11-21 00:00:00, 81.51
1990-11-23 00:00:00, 81.86
1990-11-26 00:00:00, 82.1
1990-11-27 00:00:00, 81.71
1990-11-28 00:00:00, 82.23
1990-11-29 00:00:00, 83.21
1990-11-30 00:00:00, 82.94
1990-12-03 00:00:00, 83.82
1990-12-04 00:00:00, 83.23
1990-12-05 00:00:00, 83.21
1990-12-06 00:00:00, 82.71
1990-12-07 00:00:00, 81.93
1990-12-10 00:00:00, 82.1
1990-12-11 00:00:00, 82.33
1990-12-12 00:00:00, 82.13
1990-12-13 00:00:00, 82.31
1990-12-14 00:00:00, 82.58
1990-12-17 00:00:00, 82.78
1990-12-18 00:00:00, 82.34
1990-12-19 00:00:00, 82.61
1990-12-20 00:00:00, 83.89
